"Date","GEO","VALUE","val_norm","Components","Unit of measure"
2013-08-01,"Canada",16430,1.643e+10,"Credit_rate","Dollars (in millions)"
2013-08-01,"Canada",5.47,0.0547,"Credit_rate","Interest rate (percentage)"
2013-09-01,"Canada",8046,8.046e+09,"InMort_total","Dollars (in millions)"
2013-09-01,"Canada",3.31,0.0331,"InMort_total","Interest rate (percentage)"
2013-09-01,"Canada",1582,1.582e+09,"InMort_var","Dollars (in millions)"
2013-09-01,"Canada",3.03,0.0303,"InMort_var","Interest rate (percentage)"
2013-09-01,"Canada",585,5.85e+08,"InMort_fix0_1","Dollars (in millions)"
2013-09-01,"Canada",4.92,0.0492,"InMort_fix0_1","Interest rate (percentage)"
2013-09-01,"Canada",1524,1.524e+09,"InMort_fix1_3","Dollars (in millions)"
2013-09-01,"Canada",2.9,0.029,"InMort_fix1_3","Interest rate (percentage)"
2013-09-01,"Canada",1280,1.28e+09,"InMort_fix3_5","Dollars (in millions)"
2013-09-01,"Canada",3.2,0.032,"InMort_fix3_5","Interest rate (percentage)"
2013-09-01,"Canada",3075,3.075e+09,"InMort_fix5","Dollars (in millions)"
2013-09-01,"Canada",3.39,0.0339,"InMort_fix5","Interest rate (percentage)"
2013-09-01,"Canada",13941,1.3941e+10,"UnMort_total","Dollars (in millions)"
2013-09-01,"Canada",3.18,0.0318,"UnMort_total","Interest rate (percentage)"
2013-09-01,"Canada",3143,3.143e+09,"UnMort_var","Dollars (in millions)"
2013-09-01,"Canada",2.99,0.0299,"UnMort_var","Interest rate (percentage)"
2013-09-01,"Canada",360,3.6e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-09-01,"Canada",4.75,0.0475,"UnMort_fix0_1","Interest rate (percentage)"
2013-09-01,"Canada",3369,3.369e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-09-01,"Canada",2.95,0.0295,"UnMort_fix1_3","Interest rate (percentage)"
2013-09-01,"Canada",2493,2.493e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-09-01,"Canada",3.19,0.0319,"UnMort_fix3_5","Interest rate (percentage)"
2013-09-01,"Canada",4576,4.576e+09,"UnMort_fix5","Dollars (in millions)"
2013-09-01,"Canada",3.36,0.0336,"UnMort_fix5","Interest rate (percentage)"
2013-09-01,"Canada",15840,1.584e+10,"Credit_rate","Dollars (in millions)"
2013-09-01,"Canada",5.47,0.0547,"Credit_rate","Interest rate (percentage)"
2013-10-01,"Canada",7838,7.838e+09,"InMort_total","Dollars (in millions)"
2013-10-01,"Canada",3.32,0.0332,"InMort_total","Interest rate (percentage)"
2013-10-01,"Canada",1861,1.861e+09,"InMort_var","Dollars (in millions)"
2013-10-01,"Canada",2.95,0.0295,"InMort_var","Interest rate (percentage)"
2013-10-01,"Canada",502,5.02e+08,"InMort_fix0_1","Dollars (in millions)"
2013-10-01,"Canada",5.12,0.0512,"InMort_fix0_1","Interest rate (percentage)"
2013-10-01,"Canada",1611,1.611e+09,"InMort_fix1_3","Dollars (in millions)"
2013-10-01,"Canada",2.91,0.0291,"InMort_fix1_3","Interest rate (percentage)"
2013-10-01,"Canada",1176,1.176e+09,"InMort_fix3_5","Dollars (in millions)"
2013-10-01,"Canada",3.27,0.0327,"InMort_fix3_5","Interest rate (percentage)"
2013-10-01,"Canada",2687,2.687e+09,"InMort_fix5","Dollars (in millions)"
2013-10-01,"Canada",3.5,0.035,"InMort_fix5","Interest rate (percentage)"
2013-10-01,"Canada",13632,1.3632e+10,"UnMort_total","Dollars (in millions)"
2013-10-01,"Canada",3.21,0.0321,"UnMort_total","Interest rate (percentage)"
2013-10-01,"Canada",4140,4.14e+09,"UnMort_var","Dollars (in millions)"
2013-10-01,"Canada",2.93,0.0293,"UnMort_var","Interest rate (percentage)"
2013-10-01,"Canada",384,3.84e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-10-01,"Canada",4.66,0.0466,"UnMort_fix0_1","Interest rate (percentage)"
2013-10-01,"Canada",3164,3.164e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-10-01,"Canada",3,0.03,"UnMort_fix1_3","Interest rate (percentage)"
2013-10-01,"Canada",2264,2.264e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-10-01,"Canada",3.25,0.0325,"UnMort_fix3_5","Interest rate (percentage)"
2013-10-01,"Canada",3680,3.68e+09,"UnMort_fix5","Dollars (in millions)"
2013-10-01,"Canada",3.53,0.0353,"UnMort_fix5","Interest rate (percentage)"
2013-10-01,"Canada",15678,1.5678e+10,"Credit_rate","Dollars (in millions)"
2013-10-01,"Canada",5.58,0.0558,"Credit_rate","Interest rate (percentage)"
2013-11-01,"Canada",6973,6.973e+09,"InMort_total","Dollars (in millions)"
2013-11-01,"Canada",3.3,0.033,"InMort_total","Interest rate (percentage)"
2013-11-01,"Canada",1902,1.902e+09,"InMort_var","Dollars (in millions)"
2013-11-01,"Canada",2.88,0.0288,"InMort_var","Interest rate (percentage)"
2013-11-01,"Canada",452,4.52e+08,"InMort_fix0_1","Dollars (in millions)"
2013-11-01,"Canada",4.97,0.0497,"InMort_fix0_1","Interest rate (percentage)"
2013-11-01,"Canada",1273,1.273e+09,"InMort_fix1_3","Dollars (in millions)"
2013-11-01,"Canada",2.95,0.0295,"InMort_fix1_3","Interest rate (percentage)"
2013-11-01,"Canada",1141,1.141e+09,"InMort_fix3_5","Dollars (in millions)"
2013-11-01,"Canada",3.23,0.0323,"InMort_fix3_5","Interest rate (percentage)"
2013-11-01,"Canada",2205,2.205e+09,"InMort_fix5","Dollars (in millions)"
2013-11-01,"Canada",3.56,0.0356,"InMort_fix5","Interest rate (percentage)"
2013-11-01,"Canada",12470,1.247e+10,"UnMort_total","Dollars (in millions)"
2013-11-01,"Canada",3.19,0.0319,"UnMort_total","Interest rate (percentage)"
2013-11-01,"Canada",4578,4.578e+09,"UnMort_var","Dollars (in millions)"
2013-11-01,"Canada",2.87,0.0287,"UnMort_var","Interest rate (percentage)"
2013-11-01,"Canada",387,3.87e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-11-01,"Canada",4.69,0.0469,"UnMort_fix0_1","Interest rate (percentage)"
2013-11-01,"Canada",2569,2.569e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-11-01,"Canada",3.07,0.0307,"UnMort_fix1_3","Interest rate (percentage)"
2013-11-01,"Canada",2307,2.307e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-11-01,"Canada",3.2,0.032,"UnMort_fix3_5","Interest rate (percentage)"
2013-11-01,"Canada",2629,2.629e+09,"UnMort_fix5","Dollars (in millions)"
2013-11-01,"Canada",3.65,0.0365,"UnMort_fix5","Interest rate (percentage)"
2013-11-01,"Canada",14332,1.4332e+10,"Credit_rate","Dollars (in millions)"
2013-11-01,"Canada",5.63,0.0563,"Credit_rate","Interest rate (percentage)"
2013-12-01,"Canada",6186,6.186e+09,"InMort_total","Dollars (in millions)"
2013-12-01,"Canada",3.27,0.0327,"InMort_total","Interest rate (percentage)"
2013-12-01,"Canada",1619,1.619e+09,"InMort_var","Dollars (in millions)"
