"GEO","Date","Age0_17","Age18_64","Age65_over"
"Sudbury",2020-02-01,31677,98560,31902
"Sudbury",2020-03-01,31753,98525,31944
"Sudbury",2020-04-01,31838,98487,31985
"Sudbury",2020-05-01,31932,98447,32025
"Sudbury",2020-06-01,32035,98404,32065
"Sudbury",2020-07-01,32149,98358,32105
"Sudbury",2020-08-01,32272,98310,32143
"Sudbury",2020-09-01,32407,98258,32182
"Sudbury",2020-10-01,32552,98204,32219
"Sudbury",2020-11-01,32708,98148,32256
"Sudbury",2020-12-01,32876,98088,32293
"Sudbury",2021-01-01,33056,98025,32329
"Sudbury",2021-02-01,33248,97959,32364
"Sudbury",2021-03-01,33453,97891,32399
"Sudbury",2021-04-01,33671,97819,32433
"Sudbury",2021-05-01,33902,97744,32467
"Sudbury",2021-06-01,34147,97666,32501
"Sudbury",2021-07-01,34407,97584,32534
"Sudbury",2021-08-01,34680,97500,32566
"Sudbury",2021-09-01,34969,97412,32599
"Sudbury",2021-10-01,35272,97320,32630
"Sudbury",2021-11-01,35591,97225,32661
"Sudbury",2021-12-01,35926,97127,32692
"Guelph",2013-01-01,31665,90405,20709
"Guelph",2013-02-01,31614,90494,20817
"Guelph",2013-03-01,31568,90581,20921
"Guelph",2013-04-01,31528,90666,21021
"Guelph",2013-05-01,31493,90749,21118
"Guelph",2013-06-01,31464,90830,21211
"Guelph",2013-07-01,31440,90910,21300
"Guelph",2013-08-01,31421,90989,21386
"Guelph",2013-09-01,31406,91067,21469
"Guelph",2013-10-01,31397,91144,21550
"Guelph",2013-11-01,31391,91220,21627
"Guelph",2013-12-01,31390,91297,21702
"Guelph",2014-01-01,31394,91373,21775
"Guelph",2014-02-01,31401,91449,21845
"Guelph",2014-03-01,31412,91526,21913
"Guelph",2014-04-01,31426,91603,21980
"Guelph",2014-05-01,31444,91681,22045
"Guelph",2014-06-01,31466,91760,22108
"Guelph",2014-07-01,31490,91840,22170
"Guelph",2014-08-01,31517,91922,22231
"Guelph",2014-09-01,31548,92005,22291
"Guelph",2014-10-01,31581,92092,22351
"Guelph",2014-11-01,31618,92183,22410
"Guelph",2014-12-01,31658,92279,22470
"Guelph",2015-01-01,31701,92381,22531
"Guelph",2015-02-01,31747,92489,22593
"Guelph",2015-03-01,31797,92605,22656
"Guelph",2015-04-01,31850,92729,22721
"Guelph",2015-05-01,31906,92862,22788
"Guelph",2015-06-01,31966,93006,22857
"Guelph",2015-07-01,32030,93160,22930
"Guelph",2015-08-01,32097,93326,23006
"Guelph",2015-09-01,32167,93501,23084
"Guelph",2015-10-01,32238,93683,23165
"Guelph",2015-11-01,32309,93870,23247
"Guelph",2015-12-01,32380,94058,23329
"Guelph",2016-01-01,32449,94247,23412
"Guelph",2016-02-01,32516,94433,23495
"Guelph",2016-03-01,32578,94614,23576
"Guelph",2016-04-01,32636,94788,23656
"Guelph",2016-05-01,32688,94952,23734
"Guelph",2016-06-01,32733,95103,23809
"Guelph",2016-07-01,32770,95240,23880
"Guelph",2016-08-01,32798,95361,23947
"Guelph",2016-09-01,32818,95467,24011
"Guelph",2016-10-01,32832,95561,24072
"Guelph",2016-11-01,32839,95646,24130
"Guelph",2016-12-01,32841,95724,24187
"Guelph",2017-01-01,32840,95798,24242
"Guelph",2017-02-01,32836,95871,24296
"Guelph",2017-03-01,32830,95944,24349
"Guelph",2017-04-01,32823,96021,24403
"Guelph",2017-05-01,32817,96104,24457
"Guelph",2017-06-01,32812,96197,24513
"Guelph",2017-07-01,32810,96300,24570
"Guelph",2017-08-01,32811,96417,24629
"Guelph",2017-09-01,32816,96546,24691
"Guelph",2017-10-01,32823,96687,24754
"Guelph",2017-11-01,32834,96837,24819
"Guelph",2017-12-01,32847,96996,24886
"Guelph",2018-01-01,32863,97162,24954
"Guelph",2018-02-01,32881,97333,25023
"Guelph",2018-03-01,32902,97510,25093
