"GEO","Date","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
"Montreal",2018-08-01,0.035,0.27,0.166,0.132,0.106,0.148,0.288,0.141
"Montreal",2018-09-01,0.035,0.27,0.164,0.133,0.106,0.149,0.29,0.141
"Montreal",2018-10-01,0.036,0.269,0.162,0.134,0.107,0.15,0.292,0.142
"Montreal",2018-11-01,0.036,0.269,0.16,0.134,0.107,0.151,0.293,0.142
"Montreal",2018-12-01,0.037,0.268,0.158,0.134,0.107,0.152,0.294,0.143
"Montreal",2019-01-01,0.038,0.268,0.156,0.135,0.108,0.153,0.296,0.143
"Montreal",2019-02-01,0.038,0.267,0.153,0.135,0.108,0.154,0.298,0.144
"Montreal",2019-03-01,0.039,0.266,0.151,0.136,0.108,0.155,0.299,0.144
"Montreal",2019-04-01,0.039,0.266,0.149,0.136,0.108,0.156,0.3,0.144
"Montreal",2019-05-01,0.04,0.265,0.147,0.137,0.109,0.157,0.302,0.145
"Montreal",2019-06-01,0.04,0.265,0.145,0.137,0.109,0.158,0.304,0.146
"Montreal",2019-07-01,0.041,0.264,0.143,0.138,0.109,0.159,0.305,0.146
"Montreal",2019-08-01,0.04,0.261,0.146,0.138,0.11,0.16,0.307,0.146
"Montreal",2019-09-01,0.038,0.258,0.148,0.137,0.11,0.162,0.308,0.146
"Montreal",2019-10-01,0.037,0.255,0.151,0.137,0.111,0.164,0.31,0.147
"Montreal",2019-11-01,0.035,0.252,0.153,0.137,0.111,0.165,0.312,0.147
"Montreal",2019-12-01,0.034,0.249,0.156,0.136,0.112,0.166,0.314,0.147
"Montreal",2020-01-01,0.032,0.246,0.158,0.136,0.112,0.168,0.316,0.148
"Montreal",2020-02-01,0.031,0.242,0.16,0.136,0.112,0.169,0.317,0.148
"Montreal",2020-03-01,0.03,0.239,0.163,0.135,0.113,0.171,0.319,0.148
"Montreal",2020-04-01,0.028,0.236,0.165,0.135,0.114,0.172,0.321,0.148
"Montreal",2020-05-01,0.027,0.233,0.168,0.135,0.114,0.174,0.322,0.148
"Montreal",2020-06-01,0.025,0.23,0.17,0.134,0.114,0.176,0.324,0.149
"Montreal",2020-07-01,0.024,0.227,0.173,0.134,0.115,0.177,0.326,0.149
"Montreal",2020-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2020-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2020-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2020-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2020-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2021-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Ontario",2013-07-01,0.036,0.236,0.175,0.122,0.102,0.164,0.33,0.166
"Ontario",2013-08-01,0.037,0.236,0.173,0.122,0.102,0.164,0.331,0.167
"Ontario",2013-09-01,0.037,0.236,0.171,0.122,0.103,0.165,0.332,0.167
"Ontario",2013-10-01,0.038,0.236,0.169,0.123,0.103,0.165,0.333,0.168
"Ontario",2013-11-01,0.038,0.235,0.168,0.123,0.103,0.165,0.334,0.168
"Ontario",2013-12-01,0.039,0.235,0.166,0.123,0.103,0.166,0.335,0.169
"Ontario",2014-01-01,0.039,0.235,0.164,0.124,0.104,0.166,0.336,0.17
"Ontario",2014-02-01,0.04,0.235,0.162,0.124,0.104,0.166,0.336,0.17
"Ontario",2014-03-01,0.04,0.235,0.16,0.124,0.104,0.167,0.337,0.171
"Ontario",2014-04-01,0.04,0.234,0.158,0.124,0.104,0.167,0.338,0.171
"Ontario",2014-05-01,0.041,0.234,0.157,0.124,0.105,0.167,0.339,0.172
"Ontario",2014-06-01,0.042,0.234,0.155,0.125,0.105,0.168,0.34,0.172
"Ontario",2014-07-01,0.042,0.234,0.153,0.125,0.105,0.168,0.341,0.173
"Ontario",2014-08-01,0.042,0.234,0.154,0.125,0.105,0.168,0.342,0.173
"Ontario",2014-09-01,0.042,0.234,0.154,0.124,0.104,0.169,0.342,0.174
"Ontario",2014-10-01,0.042,0.233,0.155,0.124,0.104,0.169,0.343,0.174
"Ontario",2014-11-01,0.041,0.233,0.155,0.123,0.103,0.169,0.343,0.174
"Ontario",2014-12-01,0.041,0.233,0.156,0.123,0.103,0.17,0.344,0.175
"Ontario",2015-01-01,0.041,0.233,0.156,0.122,0.103,0.17,0.345,0.175
"Ontario",2015-02-01,0.041,0.233,0.157,0.122,0.102,0.17,0.345,0.175
"Ontario",2015-03-01,0.041,0.233,0.158,0.122,0.102,0.171,0.346,0.176
"Ontario",2015-04-01,0.04,0.232,0.158,0.121,0.101,0.171,0.346,0.176
"Ontario",2015-05-01,0.04,0.232,0.159,0.121,0.101,0.171,0.347,0.176
"Ontario",2015-06-01,0.04,0.232,0.159,0.12,0.1,0.172,0.347,0.177
"Ontario",2015-07-01,0.04,0.232,0.16,0.12,0.1,0.172,0.348,0.177
"Ontario",2015-08-01,0.039,0.233,0.159,0.12,0.1,0.172,0.348,0.177
"Ontario",2015-09-01,0.039,0.234,0.158,0.121,0.1,0.172,0.348,0.176
"Ontario",2015-10-01,0.038,0.234,0.158,0.122,0.1,0.172,0.348,0.176
"Ontario",2015-11-01,0.038,0.235,0.157,0.122,0.101,0.172,0.347,0.176
"Ontario",2015-12-01,0.037,0.236,0.156,0.122,0.101,0.172,0.347,0.176
"Ontario",2016-01-01,0.037,0.237,0.156,0.123,0.101,0.172,0.347,0.176
"Ontario",2016-02-01,0.036,0.238,0.155,0.124,0.101,0.172,0.347,0.175
"Ontario",2016-03-01,0.035,0.239,0.154,0.124,0.101,0.172,0.347,0.175
"Ontario",2016-04-01,0.035,0.239,0.153,0.124,0.102,0.172,0.347,0.175
"Ontario",2016-05-01,0.034,0.24,0.153,0.125,0.102,0.172,0.346,0.174
"Ontario",2016-06-01,0.034,0.241,0.152,0.126,0.102,0.172,0.346,0.174
"Ontario",2016-07-01,0.033,0.242,0.151,0.126,0.102,0.172,0.346,0.174
"Ontario",2016-08-01,0.033,0.241,0.151,0.126,0.102,0.172,0.346,0.175
"Ontario",2016-09-01,0.034,0.24,0.151,0.126,0.103,0.172,0.347,0.175
"Ontario",2016-10-01,0.034,0.239,0.151,0.126,0.103,0.171,0.347,0.176
"Ontario",2016-11-01,0.034,0.238,0.151,0.126,0.103,0.171,0.348,0.176
"Ontario",2016-12-01,0.034,0.237,0.151,0.126,0.104,0.171,0.348,0.177
"Ontario",2017-01-01,0.034,0.236,0.152,0.126,0.104,0.171,0.349,0.178
"Ontario",2017-02-01,0.035,0.235,0.152,0.125,0.104,0.171,0.349,0.178
"Ontario",2017-03-01,0.035,0.234,0.152,0.125,0.105,0.171,0.349,0.179
"Ontario",2017-04-01,0.035,0.233,0.152,0.125,0.105,0.17,0.35,0.179
"Ontario",2017-05-01,0.036,0.232,0.152,0.125,0.105,0.17,0.35,0.18
"Ontario",2017-06-01,0.036,0.231,0.152,0.125,0.106,0.17,0.351,0.18
"Ontario",2017-07-01,0.036,0.23,0.152,0.125,0.106,0.17,0.351,0.181
"Ontario",2017-08-01,0.037,0.23,0.151,0.125,0.106,0.171,0.352,0.182
"Ontario",2017-09-01,0.037,0.229,0.149,0.126,0.106,0.171,0.353,0.182
"Ontario",2017-10-01,0.038,0.229,0.148,0.126,0.106,0.172,0.355,0.183
"Ontario",2017-11-01,0.038,0.228,0.147,0.126,0.105,0.172,0.356,0.183
