"Date","GEO","VALUE","val_norm","SCALAR_FACTOR","UOM","Census_type","Family_type","Statistics"
2016-07-01,"Victoria",42890,42890,"units","Number","All family units","Family types with 2 children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",810,810,"units","Number","All family units","Family types with 2 children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",114860,114860,"units","Dollars","All family units","Family types with 2 children","Median before-tax family income"
2016-07-01,"Victoria",99280,99280,"units","Dollars","All family units","Family types with 2 children","Median after-tax family income"
2016-07-01,"Victoria",5580,5580,"units","Number","All family units","Family types with 3 or more children","Number of families"
2016-07-01,"Victoria",28580,28580,"units","Number","All family units","Family types with 3 or more children","Number of persons"
2016-07-01,"Victoria",14930,14930,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",13560,13560,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",80,80,"units","Number","All family units","Family types with 3 or more children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",106700,106700,"units","Dollars","All family units","Family types with 3 or more children","Median before-tax family income"
2016-07-01,"Victoria",93600,93600,"units","Dollars","All family units","Family types with 3 or more children","Median after-tax family income"
2016-07-01,"Victoria",101220,101220,"units","Number","All census families","Family types with or without children","Number of families"
2016-07-01,"Victoria",271350,271350,"units","Number","All census families","Family types with or without children","Number of persons"
2016-07-01,"Victoria",57410,57410,"units","Number","All census families","Family types with or without children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",165020,165020,"units","Number","All census families","Family types with or without children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",48920,48920,"units","Number","All census families","Family types with or without children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",91400,91400,"units","Dollars","All census families","Family types with or without children","Median before-tax family income"
2016-07-01,"Victoria",80360,80360,"units","Dollars","All census families","Family types with or without children","Median after-tax family income"
2016-07-01,"Victoria",51490,51490,"units","Number","All census families","Family types without children","Number of families"
2016-07-01,"Victoria",102980,102980,"units","Number","All census families","Family types without children","Number of persons"
2016-07-01,"Victoria",110,110,"units","Number","All census families","Family types without children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",61170,61170,"units","Number","All census families","Family types without children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",41700,41700,"units","Number","All census families","Family types without children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",83930,83930,"units","Dollars","All census families","Family types without children","Median before-tax family income"
2016-07-01,"Victoria",74610,74610,"units","Dollars","All census families","Family types without children","Median after-tax family income"
2016-07-01,"Victoria",25300,25300,"units","Number","All census families","Family types with 1 child","Number of families"
2016-07-01,"Victoria",67560,67560,"units","Number","All census families","Family types with 1 child","Number of persons"
2016-07-01,"Victoria",13850,13850,"units","Number","All census families","Family types with 1 child","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",47390,47390,"units","Number","All census families","Family types with 1 child","Number of persons aged 18 to 64 years"
